Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Olympic_ranking,Nat
1995,28,10.16576923,10.11230769,9.91,0.008338462,1.576923077,1,9423.923077,0.923076923,Donovan BAILEY,1,1140.106017
1996,29,10.12777778,10.0662963,9.84,0.010862678,1.807692308,1,6651.777778,0.814814815,Donovan BAILEY,1,1140.106017
1997,30,10.08555556,10.06777778,9.91,0.010630065,1.875,1,6790.888889,0.888888889,Donovan BAILEY,9,1140.106017
1998,31,10.13538462,10.12307692,9.93,0.013739744,1.666666667,1,11753.69231,0.923076923,Donovan BAILEY,9,1140.106017
1999,32,10.51,10.255,10.19,0.002966667,2.75,2,25733.5,0.5,Donovan BAILEY,9,1140.106017
2000,33,10.26142857,10.15428571,9.98,0.010318681,3.583333333,1,13833.57143,0.714285714,Donovan BAILEY,9,1140.106017
2001,34,10.28,10.19428571,10.11,0.003228571,1.714285714,1,16373,0.571428571,Donovan BAILEY,9,1140.106017
1983,20,10.8,10.19,10.1,0.0162,1.5,1,17867,0,Donovan REID,7,1137.753126
1984,21,10.63,10.17,10.17,0,3,3,12446,0,Donovan REID,7,1137.753126
1997,19,10.33666667,10.20166667,10.06,0.005696667,1.6,1,18030,0.666666667,Dwain CHAMBERS,4,1137.753126
1998,20,10.19909091,10.20909091,10.03,0.007309091,3,1,19830.72727,0.909090909,Dwain CHAMBERS,4,1137.753126
1999,21,10.194,10.12533333,9.97,0.009426667,2.357142857,1,10900.8,0.8,Dwain CHAMBERS,4,1137.753126
2000,22,10.21583333,10.19833333,10.08,0.006851515,3.4,1,18300.58333,1,Dwain CHAMBERS,4,1137.753126
2001,23,10.145,10.10333333,9.97,0.008047059,2.055555556,1,8761.277778,0.833333333,Dwain CHAMBERS,9,1137.753126
2006,28,10.36166667,10.20666667,10.07,0.004986667,3.166666667,1,18501.66667,0.833333333,Dwain CHAMBERS,9,1137.753126
2008,30,10.20111111,10.15222222,10,0.009919444,1.333333333,1,13485.44444,1,Dwain CHAMBERS,9,1137.753126
2009,31,10.12428571,10.14571429,10,0.00778022,1.714285714,1,12293.42857,1,Dwain CHAMBERS,9,1137.753126
2010,32,10.10071429,10.17714286,9.99,0.006221978,1.5,1,15208.42857,0.857142857,Dwain CHAMBERS,9,1137.753126
2011,33,10.15588235,10.15117647,10.01,0.008123529,1.647058824,1,13087.23529,0.941176471,Dwain CHAMBERS,9,1137.753126
2012,34,10.24888889,10.15444444,10.02,0.014477778,2.25,1,15236.55556,0.888888889,Dwain CHAMBERS,9,1137.753126
2013,35,10.19444444,10.11666667,10.02,0.006325,2.555555556,1,9294.888889,0.888888889,Dwain CHAMBERS,9,1137.753126
2014,36,10.26666667,10.19444444,10.06,0.006027778,3.444444444,1,17338.55556,0.777777778,Dwain CHAMBERS,9,1137.753126
2016,38,10.37333333,10.22,10.11,0.0093,4.333333333,1,21383.66667,0.666666667,Dwain CHAMBERS,9,1137.753126
2018,18,10.20333333,10.21333333,10.19,0.000633333,1,1,18067.66667,1,Enoch ADEGOKE,8,1141.238585
2019,19,10.19666667,10.19333333,10.12,0.004586667,1.166666667,1,16721.83333,1,Enoch ADEGOKE,8,1141.238585
2021,21,10.218,10.119,9.98,0.013365556,1.3,1,11330.3,0.8,Enoch ADEGOKE,8,1141.238585
1996,18,10.28333333,10.21833333,10.12,0.005496667,1,1,20501.83333,0.833333333,Francis OBIKWELU,9,1140.730233
1997,19,10.275,10.17833333,10.1,0.004360606,1.818181818,1,14907,0.833333333,Francis OBIKWELU,9,1140.730233
1998,20,10.18,10.116875,10.01,0.00551625,3,1,9153.375,0.75,Francis OBIKWELU,9,1140.730233
1999,21,10.23444444,10.15666667,10.01,0.006775,1.285714286,1,13077.11111,0.666666667,Francis OBIKWELU,9,1140.730233
2000,22,10.079,10.08,9.97,0.008844444,2.666666667,1,7158.1,0.9,Francis OBIKWELU,9,1140.730233
2001,23,10.22111111,10.15888889,9.98,0.010636111,2.444444444,1,14287.11111,0.888888889,Francis OBIKWELU,2,1140.730233
2002,24,10.16352941,10.13294118,10.01,0.004934559,2.294117647,1,10290.94118,0.941176471,Francis OBIKWELU,2,1140.730233
2003,25,10.32,10.21666667,10.11,0.008633333,2.666666667,1,20662.33333,1,Francis OBIKWELU,2,1140.730233
2004,26,10.11076923,10.02615385,9.86,0.006075641,1.923076923,1,3624,0.769230769,Francis OBIKWELU,2,1140.730233
2005,27,10.18833333,10.13166667,10.04,0.003167647,2.944444444,1,9627.166667,0.944444444,Francis OBIKWELU,9,1140.730233
2006,28,10.23222222,10.14185185,9.84,0.011646439,2.481481481,1,12861.77778,0.777777778,Francis OBIKWELU,9,1140.730233
2007,29,10.19111111,10.16666667,9.99,0.004811765,2.833333333,1,13568.22222,0.944444444,Francis OBIKWELU,9,1140.730233
2008,30,10.13076923,10.13846154,10.04,0.003747436,2.230769231,1,10447.84615,1,Francis OBIKWELU,9,1140.730233
2009,31,10.3075,10.11375,10.06,0.002426786,1.5,1,7951.75,0.375,Francis OBIKWELU,9,1140.730233
2010,32,10.24333333,10.25333333,10.18,0.001746667,1.833333333,1,25014,0.833333333,Francis OBIKWELU,9,1140.730233
2011,33,10.346,10.23,10.18,0.002,3.6,2,21162.2,1,Francis OBIKWELU,9,1140.730233
2014,36,10.66,10.28,10.28,0,2,2,29380,0,Francis OBIKWELU,9,1140.730233
1988,21,10.29,10.25,10.25,0,1,1,23770,1,Frank FREDERICKS,9,1157.304348
1989,22,10.275,10.1325,10.02,0.010891667,3.5,1,11311.25,0.5,Frank FREDERICKS,2,1157.304348
1990,23,10.3925,10.194,10.15,0.00163,1,1,15797,0.6,Frank FREDERICKS,2,1157.304348
1991,24,10.216,10.119375,9.89,0.010672917,2,1,10289.4375,0.625,Frank FREDERICKS,2,1157.304348
1992,25,10.21285714,10.155,9.91,0.009903846,1.928571429,1,13592.21429,0.928571429,Frank FREDERICKS,2,1157.304348
1993,26,10.17,10.1375,10.03,0.006838636,3.25,1,11241.83333,0.833333333,Frank FREDERICKS,2,1157.304348
1994,27,10.225,10.115,10,0.005211538,2.285714286,1,8747.428571,0.857142857,Frank FREDERICKS,2,1157.304348
1995,28,10.22642857,10.14,10.03,0.004569231,2.428571429,1,10812.35714,0.857142857,Frank FREDERICKS,2,1157.304348
1996,29,10.04076923,10.00230769,9.86,0.011419231,1.230769231,1,3675.769231,0.923076923,Frank FREDERICKS,2,1157.304348
1997,30,10.07052632,10.04,9.9,0.011388889,1.315789474,1,5580.894737,0.894736842,Frank FREDERICKS,9,1157.304348
1998,31,10.08741935,10.07967742,9.93,0.009356559,1.833333333,1,7369.032258,0.935483871,Frank FREDERICKS,9,1157.304348
1999,32,10.13583333,10.1025,9.94,0.012165909,2.1,1,9680.666667,0.916666667,Frank FREDERICKS,9,1157.304348
2001,34,10.265,10.215,10.06,0.011366667,2.75,1,21384,1,Frank FREDERICKS,9,1157.304348
2002,35,10.19304348,10.14826087,9.85,0.013305929,1.391304348,1,13726.34783,0.826086957,Frank FREDERICKS,9,1157.304348
2003,36,10.24666667,10.18444444,10,0.008277778,2,1,16646.33333,0.888888889,Frank FREDERICKS,9,1157.304348
2004,37,10.22571429,10.22142857,10.12,0.003880952,2.857142857,1,20464,1,Frank FREDERICKS,9,1157.304348
2021,26,10.07578947,9.991578947,9.78,0.014025146,1.894736842,1,3610.052632,0.947368421,Fred KERLEY,2,1144.561396
1976,23,10.25,10.25,10.25,0,5,5,23770,1,Guy ABRAHAMS,5,1139.179104
1977,24,10.34,10.22,10.22,0,1,1,18909,1,Guy ABRAHAMS,9,1139.179104
1978,25,10.28166667,10.20333333,10.16,0.002146667,2,1,17254.16667,0.333333333,Guy ABRAHAMS,9,1139.179104
1980,27,10.28,10.28,10.28,0,1,1,29380,1,Guy ABRAHAMS,9,1139.179104
1976,19,10.2725,10.19375,10.11,0.002769643,1.625,1,16160.875,0.875,Harvey GLANCE,4,1144.561396
1977,20,10.245,10.22833333,10.16,0.002136667,2,1,20936.66667,0.666666667,Harvey GLANCE,9,1144.561396
1978,21,10.28857143,10.2,10.07,0.006266667,2,1,18170.28571,0.285714286,Harvey GLANCE,9,1144.561396
1979,22,10.276,10.192,10.13,0.002751111,1.6,1,16020.7,0.8,Harvey GLANCE,9,1144.561396
1980,23,10.31166667,10.23333333,10.07,0.004260606,1.416666667,1,22521.91667,0.833333333,Harvey GLANCE,9,1144.561396
1984,27,10.315,10.177,10.07,0.004712222,1.9,1,14748.7,0.8,Harvey GLANCE,9,1144.561396
1985,28,10.304,10.162,10.05,0.00557,1.8,1,13088.8,1,Harvey GLANCE,9,1144.561396
1986,29,10.29307692,10.17857143,10.04,0.007105495,2.428571429,1,15787.14286,0.642857143,Harvey GLANCE,9,1144.561396
1987,30,10.32375,10.16125,10.03,0.0084125,2.625,1,13938.375,0.75,Harvey GLANCE,9,1144.561396
1988,31,10.355,10.2,10.2,0,3,1,16027,0.5,Harvey GLANCE,9,1144.561396
1972,22,10.18,10.18,10.18,0,3,3,13525,1,Hasely CRAWFORD,9,1147.236581
1975,25,10.29,10.24,10.21,0.0018,2,2,22436,1,Hasely CRAWFORD,1,1147.236581
1976,26,10.21666667,10.19,10.06,0.0139,1,1,18195,1,Hasely CRAWFORD,1,1147.236581
1977,27,10.36333333,10.24,10.22,0.0012,2,1,22399.33333,1,Hasely CRAWFORD,9,1147.236581
1978,28,10.4375,10.2225,10.09,0.008425,1.75,1,21817.25,0.5,Hasely CRAWFORD,9,1147.236581
1980,30,10.305,10.235,10.19,0.00405,3,1,22041,0.5,Hasely CRAWFORD,9,1147.236581
1984,34,10.25,10.25,10.25,0,3,3,23770,0,Hasely CRAWFORD,9,1147.236581
1980,22,10.32,10.265,10.24,0.00125,2,1,26812.5,0.5,Hermann PANZO,8,1138.013621
1981,23,10.292,10.262,10.14,0.00467,1.8,1,27595.8,0.8,Hermann PANZO,9,1138.013621
2010,18,10.2875,10.225,10.16,0.004833333,1.5,1,21189,1,Jimmy VICAUT,9,1138.013621
2011,19,10.24333333,10.17333333,10.07,0.005438095,2.266666667,1,14659.33333,0.8,Jimmy VICAUT,9,1138.013621
2012,20,10.229375,10.163125,10.02,0.007329583,2.6875,1,14128.3125,0.875,Jimmy VICAUT,9,1138.013621
2013,21,10.085,10.07642857,9.95,0.011547802,2.928571429,1,7749.785714,0.857142857,Jimmy VICAUT,7,1138.013621
2014,22,10.082,9.994,9.89,0.00513,1.6,1,2312.4,0.8,Jimmy VICAUT,7,1138.013621
2015,23,10.03,10.01933333,9.86,0.008820952,2.733333333,1,4056.266667,1,Jimmy VICAUT,7,1138.013621
2016,24,10.07076923,10.01076923,9.86,0.008874359,2.307692308,1,3577.538462,1,Jimmy VICAUT,7,1138.013621
2017,25,10.07285714,10.05857143,9.97,0.003214286,2.428571429,1,4634,1,Jimmy VICAUT,9,1138.013621
2018,26,10.018,9.964,9.91,0.00233,1.4,1,1377.6,1,Jimmy VICAUT,9,1138.013621
2019,27,10.16,10.14333333,10.02,0.006052381,2.133333333,1,11598.93333,1,Jimmy VICAUT,9,1138.013621
2021,29,10.14666667,10.14666667,10.06,0.006986667,2.833333333,1,12047.16667,1,Jimmy VICAUT,9,1138.013621
1987,19,10.37,10.28,10.28,0,1,1,29380,1,Jon DRUMMOND,9,1144.561396
1988,20,10.18,10.25,10.25,0,2.5,1,23770,0.5,Jon DRUMMOND,9,1144.561396
1989,21,10.22,10.225,10.21,0.00045,1.5,1,19750.5,1,Jon DRUMMOND,9,1144.561396
1990,22,10.28,10.135,10.1,0.00245,2,1,9400,0.5,Jon DRUMMOND,9,1144.561396
1991,23,10.3925,10.175,10.03,0.009966667,1.25,1,15449.25,0.75,Jon DRUMMOND,9,1144.561396
1992,24,10.31,10.22,10.12,0.0044,2.4,1,20361.8,1,Jon DRUMMOND,9,1144.561396
1993,25,10.21533333,10.09133333,9.92,0.00748381,2.333333333,1,7556.2,0.733333333,Jon DRUMMOND,9,1144.561396
1994,26,10.13956522,10.11434783,9.99,0.007471146,2.043478261,1,9400.826087,0.913043478,Jon DRUMMOND,9,1144.561396
1995,27,10.19769231,10.16615385,10.08,0.003392308,3.230769231,1,13161.07692,0.923076923,Jon DRUMMOND,9,1144.561396
1996,28,10.16,10.10190476,9.98,0.00670619,3.285714286,1,8160.571429,0.904761905,Jon DRUMMOND,9,1144.561396
1997,29,10.175,10.0725,9.92,0.006792857,2.666666667,1,6003.5,0.75,Jon DRUMMOND,5,1144.561396
1998,30,10.085,10.07083333,9.94,0.007826515,2.727272727,2,6429.75,0.916666667,Jon DRUMMOND,5,1144.561396
1999,31,10.16090909,10.11636364,10.04,0.002385455,3.111111111,1,8109.818182,0.818181818,Jon DRUMMOND,5,1144.561396
2000,32,10.09,10.10833333,9.96,0.00399697,3.3,1,7842.5,0.916666667,Jon DRUMMOND,5,1144.561396
2001,33,10.3,10.14909091,10.04,0.003449091,3,1,11283.09091,0.545454545,Jon DRUMMOND,9,1144.561396
2002,34,10.21055556,10.17611111,9.97,0.008836928,3.888888889,1,15953.11111,0.944444444,Jon DRUMMOND,9,1144.561396
2003,35,10.21,10.1925,10.07,0.003693182,2.666666667,1,16359.41667,0.916666667,Jon DRUMMOND,9,1144.561396
2008,20,10.24857143,10.20428571,10.16,0.001428571,2,1,17149.57143,1,Joseph Obinna METU,9,1141.238585
2009,21,10.3,10.27333333,10.26,0.000233333,1,1,28195.33333,0.666666667,Joseph Obinna METU,9,1141.238585
2010,22,10.29333333,10.27333333,10.25,0.000633333,1.666666667,1,28366,0.666666667,Joseph Obinna METU,9,1141.238585
2011,23,10.345,10.205,10.12,0.01445,2,1,19644,0.5,Joseph Obinna METU,9,1141.238585
2012,24,10.19,10.11,10.11,0,1,1,7017,1,Joseph Obinna METU,9,1141.238585
2013,25,10.44666667,10.27666667,10.27,0.000133333,4.333333333,2,28816,0.666666667,Joseph Obinna METU,9,1141.238585
2014,26,10.225,10.265,10.25,0.00045,2,1,26575,0.5,Joseph Obinna METU,9,1141.238585
2015,27,10.4,10.28,10.28,0,1,1,29380,1,Joseph Obinna METU,9,1141.238585
2017,29,10.76,10.28,10.28,0,1,1,29380,0,Joseph Obinna METU,9,1141.238585
2001,19,10.22666667,10.15333333,10.08,0.005546667,1.166666667,1,12320.16667,0.666666667,Justin GATLIN,1,1144.561396
2003,21,10.15111111,10.10555556,9.97,0.008052778,2.111111111,1,8800.888889,0.666666667,Justin GATLIN,1,1144.561396
2004,22,10.09625,10.025,9.85,0.0128,2.375,1,4978.375,0.8125,Justin GATLIN,1,1144.561396
2005,23,10.07,10.057,9.84,0.014253684,1.25,1,6877.6,0.9,Justin GATLIN,9,1144.561396
2010,28,10.20285714,10.18142857,10.09,0.003947619,1.285714286,1,15013.57143,0.857142857,Justin GATLIN,3,1144.561396
2011,29,10.14933333,10.08533333,9.95,0.00738381,2.6,1,7108.4,0.866666667,Justin GATLIN,3,1144.561396
2012,30,10.03916667,9.916666667,9.79,0.01189697,1.25,1,1517.416667,0.916666667,Justin GATLIN,3,1144.561396
2013,31,10.02375,9.954375,9.85,0.00422625,1.5625,1,1452.3125,0.8125,Justin GATLIN,9,1144.561396
2014,32,9.915625,9.93625,9.76,0.015985,1,1,2185.3125,0.8125,Justin GATLIN,9,1144.561396
2015,33,9.867777778,9.824444444,9.74,0.010777778,1.111111111,1,485,0.888888889,Justin GATLIN,9,1144.561396
2016,34,10.02166667,9.946153846,9.8,0.010075641,1.076923077,1,2065.846154,0.769230769,Justin GATLIN,9,1144.561396
2017,35,10.03166667,10.035,9.92,0.0099,1.916666667,1,5177.583333,0.916666667,Justin GATLIN,9,1144.561396
2018,36,10.074,10.094,10.03,0.00493,2.8,1,7056.2,1,Justin GATLIN,9,1144.561396
2019,37,10.06285714,10.04071429,9.87,0.015407143,2,1,6282.571429,1,Justin GATLIN,9,1144.561396
2020,38,10.2725,10.0425,9.99,0.002091667,2,2,3643.75,0.5,Justin GATLIN,9,1144.561396
2021,39,10.18230769,10.07461538,9.93,0.013460256,2.769230769,1,7946.153846,0.769230769,Justin GATLIN,9,1144.561396
1996,20,10.28,10.27,10.27,0,3,3,27452,1,Kim COLLINS,9,1148.778061
1998,22,10.31333333,10.21333333,10.16,0.005733333,1.5,1,19595.66667,0.666666667,Kim COLLINS,7,1148.778061
1999,23,10.31333333,10.25333333,10.21,0.001466667,1.75,1,24946.83333,1,Kim COLLINS,7,1148.778061
2000,24,10.28545455,10.16272727,10.02,0.004981818,2.222222222,1,13141.27273,0.727272727,Kim COLLINS,7,1148.778061
2001,25,10.16421053,10.13368421,9.99,0.008246784,1.789473684,1,11342.68421,0.842105263,Kim COLLINS,6,1148.778061
2002,26,10.15619048,10.10190476,9.98,0.00863619,1.714285714,1,8781.52381,0.904761905,Kim COLLINS,6,1148.778061
2003,27,10.1675,10.08875,9.92,0.007371667,1.875,1,7262.8125,0.8125,Kim COLLINS,6,1148.778061
2004,28,10.14714286,10.12785714,10,0.008233516,3.230769231,1,10780.42857,0.857142857,Kim COLLINS,6,1148.778061
2005,29,10.171,10.112,10,0.009551111,4.2,1,9759.9,0.9,Kim COLLINS,9,1148.778061
2007,31,10.28857143,10.23857143,10.14,0.004247619,3.285714286,1,23417.28571,1,Kim COLLINS,9,1148.778061
2008,32,10.17304348,10.17130435,10.05,0.004748221,3.608695652,1,14217.34783,0.956521739,Kim COLLINS,9,1148.778061
2009,33,10.31153846,10.21923077,10.08,0.004941026,3.769230769,1,20601.46154,0.769230769,Kim COLLINS,9,1148.778061
2010,34,10.24666667,10.25666667,10.2,0.002633333,3.333333333,2,25785,1,Kim COLLINS,9,1148.778061
2011,35,10.11111111,10.10833333,10,0.007438235,2.111111111,1,9095.777778,1,Kim COLLINS,9,1148.778061
2012,36,10.155,10.111875,9.96,0.00721625,2.625,1,9146.0625,0.875,Kim COLLINS,9,1148.778061
2013,37,10.15809524,10.10904762,9.97,0.006469048,2.75,1,8747.571429,0.857142857,Kim COLLINS,9,1148.778061
2014,38,10.14692308,10.13076923,9.96,0.005041026,3.769230769,1,9985.923077,1,Kim COLLINS,9,1148.778061
2015,39,10.169375,10.09,9.94,0.008146667,3.5,1,7760.5625,0.875,Kim COLLINS,9,1148.778061
2016,40,10.2,10.129375,9.93,0.008379583,3.5,1,10878.6875,0.875,Kim COLLINS,9,1148.778061
2017,41,10.28,10.26,10.2,0.0016,4,2,26148.8,1,Kim COLLINS,9,1148.778061
2018,42,10.43,10.2,10.2,0,4,4,16027,0,Kim COLLINS,9,1148.778061
1976,21,10.32666667,10.27,10.22,0.0019,2,1,28109.66667,1,Klaus-Dieter KURRAT,7,1126.87963
2016,22,10.355,10.25,10.23,0.0008,1,1,23966,1,Lamont Marcell JACOBS,9,1129.9002
2018,24,10.26444444,10.17333333,10.04,0.007175,2.444444444,1,15064,0.888888889,Lamont Marcell JACOBS,1,1129.9002
2019,25,10.2125,10.13833333,10.03,0.004942424,1.916666667,1,10783,1,Lamont Marcell JACOBS,1,1129.9002
2020,26,10.31714286,10.18428571,10.1,0.003918681,1.785714286,1,15448.78571,0.857142857,Lamont Marcell JACOBS,1,1129.9002
2021,27,9.97125,9.955,9.8,0.008828571,1.625,1,1725.25,1,Lamont Marcell JACOBS,1,1129.9002
1988,21,10.4575,10.115,10.09,0.001366667,3,2,7719,0,Leroy BURRELL,9,1144.561396
1989,22,10.20714286,10.12,9.94,0.007428571,2.4,1,9623.666667,0.8,Leroy BURRELL,5,1144.561396
1990,23,10.169,10.07,9.94,0.010031579,1.157894737,1,6892.85,0.8,Leroy BURRELL,5,1144.561396
1991,24,10.12866667,10.06375,9.88,0.011438333,1.25,1,6583.9375,0.875,Leroy BURRELL,5,1144.561396
1992,25,10.13923077,10.11153846,9.96,0.009380769,2.230769231,1,9545.538462,0.769230769,Leroy BURRELL,5,1144.561396
1993,26,10.2,10.108,9.85,0.018862222,1.5,1,10995.1,0.7,Leroy BURRELL,9,1144.561396
1994,27,10.133,10.084,9.85,0.022337778,1.1,1,9969.7,0.7,Leroy BURRELL,9,1144.561396
1995,28,10.31666667,10.14333333,10.09,0.008533333,2.666666667,2,11738,0.333333333,Leroy BURRELL,9,1144.561396
1996,29,10.16111111,10.11333333,10.01,0.006,3.888888889,1,8900.777778,1,Leroy BURRELL,9,1144.561396
1997,30,10.20866667,10.15666667,10.04,0.006352381,3.538461538,1,13057.06667,0.866666667,Leroy BURRELL,9,1144.561396
1986,26,10.28363636,10.19909091,10.04,0.005229091,1.363636364,1,17716.45455,0.909090909,Linford CHRISTIE,2,1137.753126
1987,27,10.23181818,10.18818182,10.03,0.007536364,1.818181818,1,16975.63636,0.909090909,Linford CHRISTIE,2,1137.753126
1988,28,10.19,10.14666667,9.97,0.005424242,1.583333333,1,11511.08333,0.916666667,Linford CHRISTIE,2,1137.753126
1989,29,10.24555556,10.16666667,10.08,0.00285,1.777777778,1,12957.66667,0.888888889,Linford CHRISTIE,1,1137.753126
1990,30,10.259375,10.1325,9.93,0.011993333,1.875,1,12000.875,0.6875,Linford CHRISTIE,1,1137.753126
1991,31,10.22076923,10.11076923,9.9,0.014124359,2,1,10385,0.846153846,Linford CHRISTIE,1,1137.753126
1992,32,10.14125,10.11625,9.96,0.006291667,1.3125,1,9053,0.9375,Linford CHRISTIE,1,1137.753126
1993,33,10.174375,10.095,9.87,0.012426471,1.222222222,1,9127.5,0.777777778,Linford CHRISTIE,9,1137.753126
1994,34,10.1326087,10.06913043,9.91,0.007835573,1.318181818,1,6317.434783,0.913043478,Linford CHRISTIE,9,1137.753126
1995,35,10.1475,10.1005,9.97,0.005594474,1.85,1,7840.35,0.9,Linford CHRISTIE,9,1137.753126
1996,36,10.16272727,10.13590909,10,0.009177706,2.047619048,1,11936.36364,0.909090909,Linford CHRISTIE,9,1137.753126
1997,37,10.264,10.17666667,10.04,0.006609524,1.714285714,1,15457.53333,0.8,Linford CHRISTIE,9,1137.753126
2001,18,10.35,10.28,10.28,0,1,1,29380,1,Marc BURNS,9,1147.236581
2002,19,10.235,10.21,10.18,0.001466667,1.5,1,17887.25,0.75,Marc BURNS,9,1147.236581
2003,20,10.4725,10.2725,10.24,0.000491667,3.25,2,28096.25,0.5,Marc BURNS,9,1147.236581
2004,21,10.315,10.1475,9.99,0.009964286,1.875,1,12855.375,0.5,Marc BURNS,9,1147.236581
2005,22,10.18842105,10.13473684,9.96,0.006937427,2.789473684,1,10967.73684,0.894736842,Marc BURNS,7,1147.236581
2006,23,10.21666667,10.16333333,10.02,0.004541176,3.444444444,1,13176.05556,0.888888889,Marc BURNS,7,1147.236581
2007,24,10.245,10.20571429,10.06,0.003087912,4.142857143,1,17925,0.928571429,Marc BURNS,7,1147.236581
2008,25,10.14823529,10.10647059,9.97,0.008424265,2.941176471,1,8965.588235,0.941176471,Marc BURNS,7,1147.236581
2009,26,10.18733333,10.12466667,10,0.007126667,4.066666667,1,10105.73333,1,Marc BURNS,9,1147.236581
2010,27,10.285,10.18,10.11,0.0098,3.5,3,15393.5,1,Marc BURNS,9,1147.236581
2011,28,10.375,10.21,10.09,0.009,3.5,1,20143.75,0.75,Marc BURNS,9,1147.236581
2012,29,10.252,10.153,10,0.009023333,2.6,1,13358.6,0.9,Marc BURNS,9,1147.236581
2014,31,10.51,10.255,10.21,0.00405,2.5,1,25648,0.5,Marc BURNS,9,1147.236581
2015,32,10.355,10.19,10.17,0.0008,1,1,14933,0.5,Marc BURNS,9,1147.236581
1978,22,10.27,10.27,10.25,0.0008,1,1,27657,0,Marian WORONIN,7,1120.043478
1979,23,10.30888889,10.25666667,10.16,0.00205,1.666666667,1,25780.33333,0.777777778,Marian WORONIN,7,1120.043478
1980,24,10.3325,10.2225,10.19,0.001158333,1.25,1,19620.75,0.75,Marian WORONIN,7,1120.043478
1981,25,10.4,10.262,10.15,0.00397,1,1,27345.2,0.8,Marian WORONIN,9,1120.043478
1982,26,10.29666667,10.23333333,10.2,0.001733333,2,1,21438.66667,1,Marian WORONIN,9,1120.043478
1983,27,10.37666667,10.19666667,10.1,0.007233333,1,1,17474.66667,0.666666667,Marian WORONIN,9,1120.043478
1984,28,10.1825,10.135,10,0.008566667,1,1,10766.25,1,Marian WORONIN,9,1120.043478
1985,29,10.225,10.19,10.14,0.0014,1.25,1,15170,1,Marian WORONIN,9,1120.043478
1986,30,10.20666667,10.17,10.14,0.0009,1.333333333,1,12648,1,Marian WORONIN,9,1120.043478
1987,31,10.24,10.2,10.2,0,1,1,16027,1,Marian WORONIN,9,1120.043478
1988,32,10.16,10.21,10.21,0,1,1,17420,1,Marian WORONIN,9,1120.043478
1995,21,10.27111111,10.17555556,9.88,0.014252778,2.666666667,1,16534.11111,0.777777778,Maurice GREENE,7,1144.561396
1996,22,10.27166667,10.16166667,10.08,0.002616667,4,1,12284.83333,0.833333333,Maurice GREENE,7,1144.561396
1997,23,10.08444444,10.03,9.86,0.0168,2.25,1,6130,0.944444444,Maurice GREENE,1,1144.561396
1998,24,9.994666667,9.976666667,9.79,0.010895238,1.461538462,1,2870,0.866666667,Maurice GREENE,1,1144.561396
1999,25,10.015625,9.9725,9.79,0.02062,1.125,1,4470.5625,0.875,Maurice GREENE,1,1144.561396
2000,26,10,10.02176471,9.86,0.013465441,1.4,1,4918,0.941176471,Maurice GREENE,1,1144.561396
2001,27,9.989166667,9.950833333,9.82,0.007426515,1.083333333,1,1831.666667,0.833333333,Maurice GREENE,3,1144.561396
2002,28,10.09,10.05866667,9.88,0.012355238,2.266666667,1,6548.533333,0.866666667,Maurice GREENE,3,1144.561396
2003,29,10.095,10.07833333,9.94,0.006616667,2.333333333,1,6224.5,1,Maurice GREENE,3,1144.561396
2004,30,10.02722222,9.993333333,9.78,0.012070588,1.444444444,1,3448.444444,0.888888889,Maurice GREENE,3,1144.561396
